U I Ig I' I'g I'' I''g
-29.600000 -6.734419 -6.752928 0.160226 0.165542 -0.011247 -0.008767
-29.500000 -6.733978 -6.736905 0.160226 0.164418 -0.011247 -0.009075
-29.400000 -6.737141 -6.720882 0.160226 0.163293 -0.011247 -0.009383
-29.299999 -6.695322 -6.704860 0.160226 0.162168 -0.011247 -0.009691
-29.200001 -6.700959 -6.688837 0.160226 0.161044 -0.011247 -0.009999
-29.100000 -6.648888 -6.672815 0.159238 0.159919 -0.011247 -0.010307
-29.000000 -6.612713 -6.656792 0.164069 0.158794 -0.011247 -0.010616
-28.900000 -6.641568 -6.639583 0.189482 0.157670 -0.011550 -0.010924
-28.799999 -6.647983 -6.619870 0.174784 0.156545 -0.009885 -0.011232
-28.700001 -6.614525 -6.604820 0.155368 0.155783 -0.004081 -0.011540
-28.600000 -6.617708 -6.588424 0.152850 0.155567 -0.003662 -0.011848
-28.500000 -6.554711 -6.574454 0.135945 0.154746 -0.016122 -0.011428
-28.400000 -6.535276 -6.560365 0.157151 0.152643 -0.016575 -0.010795
-28.299999 -6.556257 -6.543486 0.155664 0.151738 -0.004811 -0.010195
-28.200001 -6.524092 -6.529260 0.154570 0.151387 -0.006283 -0.009465
-28.100000 -6.530220 -6.512405 0.164920 0.150470 -0.006693 -0.009419
-28.000000 -6.504395 -6.497201 0.135085 0.150044 -0.004642 -0.009539
-27.900000 -6.457862 -6.484918 0.125282 0.149019 -0.024865 -0.008697
-27.799999 -6.412583 -6.471466 0.141450 0.145350 -0.034874 -0.007278
-27.700001 -6.471090 -6.456864 0.144236 0.142760 -0.016721 -0.006158
-27.600000 -6.425213 -6.442510 0.155689 0.141821 -0.009317 -0.005994
-27.500000 -6.441053 -6.426351 0.142986 0.140851 -0.002419 -0.005887
-27.400000 -6.438115 -6.414192 0.116064 0.141253 0.002039 -0.004281
-27.299999 -6.382672 -6.401904 0.141206 0.141122 0.001344 -0.002840
-27.200001 -6.396571 -6.386204 0.152867 0.141543 0.004089 -0.003010
-27.100000 -6.347007 -6.371900 0.140968 0.141552 -0.010283 -0.002945
-27.000000 -6.329599 -6.357607 0.150279 0.139786 -0.013759 -0.002533
-26.900000 -6.354775 -6.342282 0.142559 0.139405 0.006440 -0.002361
-26.799999 -6.359073 -6.329595 0.112430 0.140881 0.018244 -0.000602
-26.700001 -6.341345 -6.318875 0.120399 0.142588 0.013637 0.002060
-26.600000 -6.313082 -6.305266 0.135639 0.143354 -0.000652 0.003532
-26.500000 -6.278384 -6.292136 0.132475 0.142823 -0.001403 0.004587
-26.400000 -6.299358 -6.278445 0.144400 0.143542 0.017605 0.005228
-26.299999 -6.277227 -6.263272 0.154389 0.145773 0.013690 0.005022
-26.200001 -6.226575 -6.247636 0.164499 0.145829 -0.008393 0.004336
-26.100000 -6.223706 -6.230928 0.154763 0.144694 -0.004920 0.003616
-26.000000 -6.230052 -6.217094 0.127832 0.144982 0.001971 0.004149
-25.900000 -6.182582 -6.204657 0.127096 0.144904 -0.001038 0.005493
-25.799999 -6.191422 -6.190867 0.156278 0.145141 0.012074 0.005578
-25.700001 -6.187476 -6.173627 0.177290 0.147210 0.021026 0.003996
-25.600000 -6.185306 -6.156387 0.160324 0.148948 0.014188 0.002544
-25.500000 -6.149466 -6.141567 0.144531 0.150131 0.012838 0.002555
-25.400000 -6.153546 -6.126774 0.158085 0.151480 0.011058 0.002475
-25.299999 -6.119480 -6.110159 0.162917 0.152058 -0.002299 0.001281
-25.200001 -6.054312 -6.094827 0.142389 0.151095 -0.013062 0.001061
-25.100000 -6.045714 -6.081486 0.129030 0.149812 -0.011017 0.002419
-25.000000 -6.056499 -6.068253 0.147026 0.149186 0.000898 0.003008
-24.900000 -6.068422 -6.052405 0.148624 0.150001 0.014472 0.002939
-24.799999 -6.065186 -6.038610 0.147551 0.151533 0.008229 0.003363
-24.700001 -5.997031 -6.022689 0.155882 0.151222 -0.014985 0.003034
-24.600000 -5.979311 -6.007586 0.156899 0.149075 -0.016847 0.002133
-24.500000 -6.001852 -5.991277 0.160470 0.148324 -0.000426 0.001479
-24.400000 -5.967739 -5.975591 0.160810 0.148568 -0.003086 0.000638
-24.299999 -5.950439 -5.959292 0.156533 0.147674 -0.007461 9.985975E-5
-24.200001 -5.955243 -5.944683 0.134176 0.147576 0.009071 0.000705
-24.100000 -5.946414 -5.931852 0.137544 0.149338 0.020114 0.001585
-24.000000 -5.945818 -5.917079 0.141614 0.151001 0.007452 0.002047
-23.900000 -5.897240 -5.903510 0.144959 0.150940 0.000514 0.002442
-23.799999 -5.892887 -5.887885 0.159258 0.151449 0.007875 0.002311
-23.700001 -5.857083 -5.872252 0.149746 0.152303 0.005167 0.002189
-23.600000 -5.870325 -5.858122 0.132215 0.152450 0.002101 0.003544
-23.500000 -5.842801 -5.845102 0.144549 0.152748 0.000458 0.005019
-23.400000 -5.820076 -5.829343 0.149652 0.152485 -0.004834 0.005302
-23.299999 -5.811265 -5.815480 0.139306 0.152038 -0.000238 0.006079
-23.200001 -5.812691 -5.800735 0.160857 0.152574 0.010402 0.006802
-23.100000 -5.784853 -5.783400 0.179409 0.153740 0.005427 0.005547
-23.000000 -5.735482 -5.765725 0.163943 0.153618 -0.001316 0.003866
-22.900000 -5.771552 -5.750692 0.145754 0.153881 0.009187 0.003987
-22.799999 -5.740298 -5.735807 0.159298 0.155282 0.011734 0.004591
-22.700001 -5.736886 -5.718959 0.165487 0.156028 0.005652 0.004081
-22.600000 -5.700308 -5.703018 0.158967 0.156714 0.013478 0.003629
-22.500000 -5.705884 -5.686970 0.163154 0.158556 0.014137 0.003727
-22.400000 -5.670927 -5.670655 0.154964 0.159331 0.005498 0.003948
-22.299999 -5.676619 -5.655840 0.151415 0.159996 0.013242 0.004377
-22.200001 -5.640777 -5.639935 0.167784 0.161635 0.007720 0.004286
-22.100000 -5.591208 -5.622907 0.158664 0.161097 -0.017276 0.003505
-22.000000 -5.575242 -5.608531 0.134989 0.158876 -0.015202 0.003712
-21.900000 -5.630134 -5.595004 0.147132 0.158654 0.009993 0.004544
-21.799999 -5.584644 -5.578696 0.174386 0.160336 0.013208 0.003976
-21.700001 -5.539090 -5.560783 0.174919 0.160789 -0.002828 0.002881
-21.600000 -5.522326 -5.544032 0.164160 0.160104 -0.004342 0.002398
-21.500000 -5.533313 -5.527597 0.170885 0.160192 0.004163 0.001570
-21.400000 -5.500190 -5.510194 0.160824 0.160771 0.005111 0.001055
-21.299999 -5.508957 -5.495138 0.163613 0.161130 0.004158 0.001166
-21.200001 -5.477262 -5.477353 0.173726 0.161471 -0.002137 0.000248
-21.100000 -5.455098 -5.461208 0.149560 0.160806 -0.005993 -0.000215
-21.000000 -5.482960 -5.447222 0.132765 0.160744 0.009760 0.001478
-20.900000 -5.451405 -5.433556 0.159293 0.162504 0.016166 0.002992
-20.799999 -5.429088 -5.415454 0.181075 0.163342 -0.002747 0.002504
-20.700001 -5.364136 -5.398223 0.168808 0.162185 -0.011271 0.001366
-20.600000 -5.385110 -5.381854 0.151104 0.161488 -0.004481 0.001482
-20.500000 -5.355162 -5.367322 0.160813 0.161201 -0.003919 0.002025
-20.400000 -5.340424 -5.349568 0.175314 0.160848 0.003334 0.001508
-20.299999 -5.354759 -5.332909 0.162493 0.161764 0.007819 0.001124
-20.200001 -5.303135 -5.316924 0.158593 0.161996 -0.006032 0.001346
-20.100000 -5.301720 -5.301164 0.153805 0.161002 -0.001990 0.001833
-20.000000 -5.297497 -5.285921 0.157373 0.161990 0.018277 0.002737
-19.900000 -5.288258 -5.269451 0.171934 0.164104 0.016579 0.002596
-19.799999 -5.250010 -5.252071 0.164728 0.164880 -0.000249 0.001826
-19.700001 -5.222794 -5.236687 0.150090 0.164227 -0.010695 0.002441
-19.600000 -5.195333 -5.221482 0.160292 0.163273 -0.000378 0.003209
-19.500000 -5.217154 -5.204843 0.158126 0.164085 0.007048 0.003594
-19.400000 -5.160472 -5.189668 0.163470 0.164196 -0.006682 0.004138
-19.299999 -5.150349 -5.171930 0.180073 0.163151 -0.002959 0.003601
-19.200001 -5.173279 -5.154342 0.168471 0.163821 0.008825 0.002874
-19.100000 -5.146299 -5.138323 0.152865 0.164640 0.008087 0.003650
-19.000000 -5.135000 -5.122979 0.170296 0.165511 0.012979 0.004055
-18.900000 -5.137095 -5.104462 0.177172 0.166968 0.006809 0.002971
-18.799999 -5.086427 -5.087809 0.175575 0.166871 -4.134331E-6 0.002043
-18.700001 -5.106018 -5.069568 0.167377 0.167350 0.010159 0.002087
-18.600000 -5.044825 -5.054514 0.148767 0.168573 0.004865 0.003234
-18.500000 -5.035694 -5.038951 0.168158 0.168393 0.003596 0.003911
-18.400000 -5.036496 -5.021396 0.163135 0.169378 0.007515 0.003799
-18.299999 -4.967919 -5.006413 0.153385 0.169472 -0.007956 0.004440
-18.200001 -4.985419 -4.989971 0.176557 0.168185 -0.007442 0.004519
-18.100000 -4.966733 -4.971618 0.175782 0.168399 0.010275 0.003849
-18.000000 -4.979496 -4.954904 0.172106 0.169729 0.006516 0.003543
-17.900000 -4.908638 -4.936812 0.187962 0.169495 -0.004505 0.002796
-17.799999 -4.938542 -4.918052 0.169907 0.169132 -0.002895 0.002717
-17.700001 -4.866942 -4.902361 0.174780 0.169028 0.000664 0.003411
-17.600000 -4.906657 -4.883185 0.175779 0.169469 0.013404 0.003206
-17.500000 -4.868516 -4.867612 0.156508 0.171396 0.013826 0.003428
-17.400000 -4.848491 -4.850992 0.178806 0.171985 0.004704 0.003598
-17.299999 -4.845838 -4.832628 0.165442 0.172559 0.006777 0.003335
-17.200001 -4.805073 -4.817880 0.153056 0.173128 -0.001291 0.004470
-17.100000 -4.787861 -4.801241 0.172971 0.172409 -0.005245 0.005599
-17.000000 -4.795303 -4.783561 0.180794 0.172337 0.001646 0.005255
-16.900000 -4.755075 -4.765644 0.165379 0.172525 -0.002694 0.005247
-16.799999 -4.743142 -4.750060 0.169550 0.172078 0.005138 0.005975
-16.700001 -4.756913 -4.731688 0.173397 0.173575 0.014578 0.006361
-16.600000 -4.703324 -4.715369 0.176637 0.174573 0.005851 0.006368
-16.500000 -4.717782 -4.696189 0.189218 0.174987 0.009524 0.005379
-16.400000 -4.686685 -4.678034 0.180526 0.176353 0.007173 0.004213
-16.299999 -4.650839 -4.660074 0.175188 0.176389 0.001979 0.003844
-16.200001 -4.658207 -4.643085 0.165338 0.177182 0.015888 0.003995
-16.100000 -4.635998 -4.626817 0.161462 0.179241 0.016271 0.004892
-16.000000 -4.595464 -4.610379 0.174266 0.180102 0.003034 0.005733
