U I Ig I' I'g I'' I''g
-29.600000 -16.025471 -16.107069 0.338873 0.357831 -0.042124 -0.041878
-29.500000 -16.182367 -16.073182 0.338873 0.353618 -0.042124 -0.039345
-29.400000 -16.048428 -16.039295 0.338873 0.349406 -0.042124 -0.036812
-29.299999 -15.895550 -16.005407 0.338873 0.345193 -0.042124 -0.034279
-29.200001 -15.840060 -15.971520 0.338873 0.340981 -0.042124 -0.031746
-29.100000 -15.858306 -15.937633 0.334394 0.336768 -0.042124 -0.029213
-29.000000 -15.850684 -15.903746 0.369946 0.332556 -0.042124 -0.026680
-28.900000 -15.739263 -15.864484 0.371989 0.328344 -0.044859 -0.024147
-28.799999 -15.710979 -15.830261 0.334751 0.324131 -0.027122 -0.021614
-28.700001 -15.850543 -15.796144 0.363783 0.323200 0.001262 -0.019081
-28.600000 -15.762945 -15.758731 0.334887 0.323957 0.011573 -0.016548
-28.500000 -15.804108 -15.728779 0.324279 0.325440 0.023147 -0.014178
-28.400000 -15.747442 -15.693207 0.343283 0.328157 0.018434 -0.011039
-28.299999 -15.715878 -15.661088 0.320492 0.329023 0.012241 -0.008135
-28.200001 -15.768195 -15.629145 0.300130 0.330502 0.002499 -0.006371
-28.100000 -15.528794 -15.600873 0.285832 0.329507 -0.010567 -0.003988
-28.000000 -15.617335 -15.571642 0.290550 0.329030 0.004966 -0.000483
-27.900000 -15.613699 -15.544063 0.235053 0.329927 -0.005722 0.003930
-27.799999 -15.396560 -15.523325 0.225276 0.327906 -0.014058 0.009612
-27.700001 -15.481066 -15.496402 0.319328 0.327384 -0.011890 0.012552
-27.600000 -15.495672 -15.460681 0.354771 0.325555 -0.012536 0.011716
-27.500000 -15.396490 -15.426106 0.369997 0.325387 0.007652 0.009582
-27.400000 -15.435348 -15.386684 0.395946 0.326974 0.023777 0.006571
-27.299999 -15.373942 -15.348421 0.357046 0.329548 0.018868 0.004955
-27.200001 -15.224732 -15.314333 0.369936 0.330311 -0.005088 0.003882
-27.100000 -15.246359 -15.275756 0.317972 0.329446 0.007916 0.004556
-27.000000 -15.244445 -15.249285 0.324383 0.332263 0.031491 0.007334
-26.900000 -15.271535 -15.209598 0.388786 0.335665 0.050538 0.007268
-26.799999 -15.303758 -15.174330 0.329552 0.342276 0.074473 0.007110
-26.700001 -15.145592 -15.142658 0.323783 0.348907 0.034625 0.007607
-26.600000 -15.100410 -15.109233 0.325379 0.348825 -0.016304 0.008894
-26.500000 -15.036868 -15.077362 0.331354 0.346506 -0.033242 0.010773
-26.400000 -14.976245 -15.042416 0.357597 0.342637 -0.040075 0.009778
-26.299999 -14.943913 -15.005746 0.397348 0.339293 -0.015516 0.007102
-26.200001 -15.000041 -14.965423 0.336516 0.339213 -0.010293 0.005611
-26.100000 -14.958061 -14.938238 0.281965 0.337730 0.016663 0.006496
-26.000000 -14.972907 -14.906169 0.344991 0.342485 0.047763 0.006149
-25.900000 -14.783906 -14.870073 0.361998 0.345473 0.003595 0.004591
-25.799999 -14.873072 -14.834088 0.373884 0.343838 -0.009049 0.002712
-25.700001 -14.731461 -14.795983 0.364511 0.344240 -0.003615 -0.001312
-25.600000 -14.779131 -14.762111 0.317617 0.343484 0.015134 -0.003131
-25.500000 -14.826390 -14.731676 0.306070 0.346980 0.026928 -0.000627
-25.400000 -14.662613 -14.700774 0.288750 0.347597 -0.013252 0.003734
-25.299999 -14.665295 -14.672570 0.325723 0.344829 -0.032408 0.007040
-25.200001 -14.527150 -14.635759 0.355357 0.342176 -0.012443 0.007629
-25.100000 -14.653853 -14.602425 0.338800 0.342507 0.013478 0.008861
-25.000000 -14.572905 -14.566043 0.417816 0.343948 0.000638 0.006924
-24.900000 -14.486423 -14.521400 0.387132 0.342829 -0.001236 0.002344
-24.799999 -14.515844 -14.488938 0.354449 0.343991 0.011080 0.002201
-24.700001 -14.503561 -14.450140 0.338007 0.344335 -0.010014 0.003080
-24.600000 -14.434286 -14.421304 0.307897 0.342695 -0.003589 0.003978
-24.500000 -14.461273 -14.385943 0.398805 0.344478 0.036290 0.002949
-24.400000 -14.387925 -14.344840 0.344296 0.349446 0.058330 0.000991
-24.299999 -14.383950 -14.316994 0.299480 0.354790 0.029356 0.003421
-24.200001 -14.170896 -14.282865 0.341637 0.355198 -0.003148 0.006632
-24.100000 -14.300015 -14.249515 0.343454 0.355269 0.015577 0.007418
-24.000000 -14.194044 -14.214972 0.312233 0.357050 -0.024011 0.008529
-23.900000 -14.035398 -14.185992 0.321497 0.350912 -0.048410 0.010831
-23.799999 -14.102203 -14.149363 0.386395 0.349157 0.000590 0.009876
-23.700001 -14.058321 -14.110445 0.381100 0.350216 0.009405 0.007260
-23.600000 -14.125916 -14.074271 0.330081 0.350778 0.015246 0.008774
-23.500000 -14.036546 -14.042573 0.355060 0.352599 -0.006485 0.010267
-23.400000 -13.963233 -14.002480 0.410386 0.349922 -0.014183 0.006570
-23.299999 -14.077835 -13.962190 0.400993 0.351149 0.037770 0.000907
-23.200001 -13.948585 -13.923670 0.334279 0.356196 0.035023 -0.000594
-23.100000 -13.826798 -13.893289 0.356846 0.357467 0.004072 0.000493
-23.000000 -13.928446 -13.852408 0.376198 0.358444 0.036814 -0.001206
-22.900000 -13.964335 -13.820309 0.288926 0.364247 0.048980 0.000433
-22.799999 -13.717217 -13.791268 0.350269 0.366258 -0.021296 0.003300
-22.700001 -13.698565 -13.750878 0.376707 0.361205 -0.043853 0.001675
-22.600000 -13.743899 -13.717284 0.349803 0.359662 0.021774 0.001418
-22.500000 -13.768624 -13.680487 0.346135 0.364103 0.027766 0.002892
-22.400000 -13.619325 -13.647900 0.342584 0.363313 -0.041355 0.004746
-22.299999 -13.541832 -13.611164 0.370061 0.357091 -0.060595 0.005131
-22.200001 -13.575047 -13.573801 0.405470 0.353187 -0.002145 0.001401
-22.100000 -13.532885 -13.531772 0.368339 0.355813 0.019675 -0.001925
-22.000000 -13.441525 -13.499335 0.363964 0.355663 -0.020109 -0.001879
-21.900000 -13.519955 -13.457436 0.434101 0.353283 0.010419 -0.004533
-21.799999 -13.425542 -13.415868 0.363727 0.357078 0.011778 -0.008270
-21.700001 -13.254011 -13.384964 0.280280 0.354634 -0.033535 -0.004940
-21.600000 -13.352852 -13.356033 0.348699 0.352339 0.004013 0.000240
-21.500000 -13.353164 -13.315085 0.423339 0.355614 0.046207 -0.000516
-21.400000 -13.352221 -13.275274 0.338465 0.360106 0.032440 -0.001398
-21.299999 -13.191775 -13.246901 0.279716 0.361317 -0.006085 0.002591
-21.200001 -13.293227 -13.216720 0.319027 0.359033 -0.040563 0.007593
-21.100000 -13.065978 -13.182311 0.389407 0.354329 -0.034835 0.008236
-21.000000 -13.145603 -13.141383 0.353699 0.352880 0.005036 0.007069
-20.900000 -13.048582 -13.111500 0.326216 0.353895 -0.018908 0.009659
-20.799999 -13.091410 -13.074674 0.368633 0.349511 -0.029501 0.010537
-20.700001 -13.068234 -13.040095 0.298940 0.350074 0.048626 0.011802
-20.600000 -13.090993 -13.012496 0.328523 0.357714 0.064944 0.015894
-20.500000 -12.884007 -12.972807 0.418578 0.361166 0.005880 0.015010
-20.400000 -12.932584 -12.930603 0.440457 0.360317 0.009260 0.009526
-20.299999 -13.023503 -12.887243 0.368017 0.363842 0.042412 0.006129
-20.200001 -12.908016 -12.856529 0.322086 0.368010 0.044432 0.007703
-20.100000 -12.852465 -12.821837 0.306703 0.371812 0.011361 0.012945
-20.000000 -12.673407 -12.793861 0.337893 0.370756 -0.004814 0.017474
-19.900000 -12.813981 -12.753938 0.385281 0.372175 0.034278 0.017952
-19.799999 -12.746600 -12.718810 0.342053 0.376695 0.028854 0.020125
-19.700001 -12.699375 -12.683766 0.375537 0.378191 0.038343 0.022717
-19.600000 -12.674447 -12.642944 0.440730 0.384259 0.052396 0.018791
-19.500000 -12.519383 -12.597657 0.421189 0.386676 -0.014545 0.013010
