U I Ig I' I'g I'' I''g
-29.600000 -9.541687 -12.431800 0.258030 0.260317 0.006169 0.011812
-29.500000 -9.472960 -12.405997 0.258030 0.260934 0.006169 0.010869
-29.400000 -9.530924 -12.380194 0.258030 0.261550 0.006169 0.009926
-29.299999 -9.444252 -12.354391 0.258030 0.262167 0.006169 0.008982
-29.200001 -9.429235 -12.328588 0.258030 0.262784 0.006169 0.008039
-29.100000 -9.451949 -12.302785 0.255512 0.263401 0.006169 0.007096
-29.000000 -9.414428 -12.276982 0.276054 0.264018 0.006169 0.006153
-28.900000 -9.432184 -12.248157 0.271073 0.264635 0.004504 0.005209
-28.799999 -9.394536 -12.222828 0.263561 0.265252 0.018347 0.004266
-28.700001 -9.347102 -12.194840 0.280348 0.267866 0.015324 0.003323
-28.600000 -9.342762 -12.166721 0.302885 0.267852 -0.006410 0.002380
-28.500000 -9.349912 -12.135718 0.267645 0.267045 -0.009673 0.001011
-28.400000 -9.306707 -12.113315 0.224107 0.266377 0.002622 0.001743
-28.299999 -9.293678 -12.088767 0.268416 0.267673 0.019366 0.002253
-28.200001 -9.226795 -12.060040 0.293361 0.269726 0.015311 0.000880
-28.100000 -9.224081 -12.031617 0.252013 0.270603 0.010046 0.000116
-28.000000 -9.237979 -12.008143 0.282480 0.271442 -0.006615 -0.000507
-27.900000 -9.204797 -11.976008 0.269630 0.269346 -0.023659 -0.001779
-27.799999 -9.212953 -11.954147 0.256987 0.267608 -0.003093 -0.001571
-27.700001 -9.125485 -11.923201 0.312931 0.268323 0.000809 -0.002775
-27.600000 -9.080340 -11.894071 0.257727 0.266971 -0.030087 -0.004292
-27.500000 -9.066000 -11.870917 0.241095 0.263276 -0.022579 -0.003226
-27.400000 -9.106507 -11.845150 0.243990 0.263339 0.021540 -0.001242
-27.299999 -9.110471 -11.821153 0.285250 0.266366 0.016885 -0.000528
-27.200001 -9.088692 -11.788746 0.301151 0.265839 -0.022673 -0.001950
-27.100000 -9.032521 -11.761981 0.276437 0.263013 -0.009869 -0.002686
-27.000000 -9.000237 -11.733151 0.273142 0.263727 -0.006907 -0.003043
-26.900000 -8.999317 -11.708120 0.232029 0.261314 -0.020538 -0.002241
