U I Ig I' I'g I'' I''g
-21.500000 -3.020128 -3.036356 0.096565 0.085876 -0.005625 0.002050
-21.400000 -3.036440 -3.026973 0.085847 0.085932 0.005581 0.001849
-21.299999 -3.035050 -3.018915 0.087923 0.086851 0.010543 0.001979
-21.200001 -3.016137 -3.009541 0.081067 0.087856 0.009174 0.002169
-21.100000 -3.011296 -3.002412 0.085945 0.088622 0.006024 0.002520
-21.000000 -2.992859 -2.992231 0.097077 0.089090 0.004004 0.002113
-20.900000 -2.989590 -2.983565 0.083315 0.089491 0.004663 0.001837
-20.799999 -2.987429 -2.975254 0.084263 0.090010 0.004942 0.002224
-20.700001 -2.957209 -2.966576 0.090165 0.090387 0.001517 0.002233
-20.600000 -2.958847 -2.957435 0.087101 0.090324 -0.001145 0.002101
-20.500000 -2.937404 -2.949214 0.081035 0.090187 -0.003500 0.002477
-20.400000 -2.926554 -2.940880 0.089032 0.089781 0.000198 0.002855
-20.299999 -2.950778 -2.931377 0.097513 0.090235 0.004353 0.002616
-20.200001 -2.906653 -2.921581 0.098423 0.090476 0.001394 0.002090
-20.100000 -2.918813 -2.911837 0.094677 0.090529 0.000166 0.001596
-20.000000 -2.889239 -2.902666 0.089988 0.090455 -0.004162 0.001294
-19.900000 -2.888660 -2.893669 0.092046 0.089867 -0.002017 0.001103
-19.799999 -2.898341 -2.884221 0.095624 0.090180 0.005247 0.000849
-19.700001 -2.884977 -2.874733 0.091039 0.090746 0.005473 0.000675
-19.600000 -2.863892 -2.865924 0.090429 0.091188 0.002893 0.000776
-19.500000 -2.863200 -2.856539 0.094844 0.091365 0.002299 0.000891
-19.400000 -2.845116 -2.847185 0.088035 0.091663 0.002313 0.001080
-19.299999 -2.836883 -2.838635 0.095399 0.091787 0.000556 0.001178
-19.200001 -2.829325 -2.828338 0.092983 0.091789 -0.000497 0.001081
-19.100000 -2.811516 -2.820240 0.082169 0.091703 -0.001208 0.001253
-19.000000 -2.818698 -2.811602 0.084400 0.091587 -0.000321 0.001571
-18.900000 -2.803926 -2.803354 0.084733 0.091628 -8.270914E-6 0.002077
-18.799999 -2.791180 -2.794531 0.089877 0.091568 -0.000670 0.002399
-18.700001 -2.788174 -2.785348 0.096152 0.091557 0.001292 0.002232
-18.600000 -2.772225 -2.775408 0.099447 0.091830 0.003651 0.001851
-18.500000 -2.761760 -2.765756 0.090825 0.092173 0.001262 0.001767
-18.400000 -2.740976 -2.757126 0.087286 0.092116 0.000463 0.002149
-18.299999 -2.747007 -2.748081 0.091645 0.092332 0.002251 0.002464
-18.200001 -2.734532 -2.738754 0.097539 0.092539 0.002331 0.002495
-18.100000 -2.736599 -2.728750 0.096632 0.092857 0.005011 0.002318
-18.000000 -2.737422 -2.719528 0.092243 0.093519 0.006826 0.002317
-17.900000 -2.716025 -2.710233 0.090830 0.094159 0.006480 0.002609
-17.799999 -2.703376 -2.701304 0.090794 0.094768 0.004745 0.002964
-17.700001 -2.705505 -2.691960 0.095401 0.095069 0.001725 0.003193
-17.600000 -2.676239 -2.682295 0.096766 0.095104 -0.002517 0.003198
-17.500000 -2.661185 -2.672642 0.097642 0.094778 0.001121 0.003041
-17.400000 -2.681981 -2.662883 0.093640 0.095460 0.010327 0.003063
-17.299999 -2.655167 -2.653831 0.092559 0.096572 0.008935 0.003255
-17.200001 -2.641012 -2.644175 0.099760 0.097062 0.001199 0.003205
-17.100000 -2.619251 -2.634049 0.099647 0.096876 -0.004209 0.002977
-17.000000 -2.617845 -2.624339 0.096088 0.096452 -0.001238 0.002839
-16.900000 -2.623497 -2.614715 0.097833 0.096742 0.005814 0.002731
-16.799999 -2.616434 -2.604812 0.097519 0.097476 0.007445 0.002514
-16.700001 -2.594936 -2.595237 0.096198 0.098090 0.004145 0.002489
-16.600000 -2.585228 -2.585534 0.096888 0.098308 0.001397 0.002700
-16.500000 -2.569502 -2.575930 0.092599 0.098421 0.000351 0.003141
-16.400000 -2.556823 -2.566624 0.105148 0.098448 0.001727 0.003222
-16.299999 -2.550883 -2.555076 0.110633 0.098791 0.004480 0.002472
-16.200001 -2.544233 -2.544877 0.101948 0.099196 0.001220 0.001740
-16.100000 -2.521884 -2.534711 0.093618 0.099031 -0.002470 0.001644
-16.000000 -2.532680 -2.526043 0.087743 0.098903 0.002112 0.002245
-15.900000 -2.535337 -2.516744 0.098319 0.099410 0.004553 0.002699
-15.800000 -2.508054 -2.506427 0.106257 0.099696 0.001937 0.002410
-15.700000 -2.502301 -2.495768 0.103689 0.099905 0.004220 0.001981
-15.600000 -2.501746 -2.485744 0.099972 0.100538 0.006149 0.001860
-15.500000 -2.474558 -2.475706 0.099148 0.101085 0.006737 0.001897
-15.400000 -2.465756 -2.465898 0.098208 0.101754 0.002826 0.002028
-15.300000 -2.439469 -2.455981 0.100847 0.101549 -0.005416 0.002079
-15.200000 -2.440985 -2.445793 0.101066 0.100864 -0.006441 0.001875
-15.100000 -2.427533 -2.435882 0.096289 0.100462 -0.000809 0.001901
-15.000000 -2.437212 -2.426387 0.096963 0.100785 0.008412 0.002180
-14.900000 -2.422563 -2.416279 0.106735 0.101894 0.008291 0.002160
-14.800000 -2.406848 -2.405329 0.103823 0.102223 -0.000247 0.002059
-14.700000 -2.392589 -2.395499 0.101921 0.102013 -0.001573 0.002161
-14.600000 -2.384436 -2.384731 0.109484 0.102036 0.001601 0.002054
-14.500000 -2.374429 -2.373799 0.108373 0.102284 0.002178 0.001813
-14.400000 -2.363545 -2.363109 0.106650 0.102469 0.003093 0.001579
-14.300000 -2.348555 -2.352574 0.100853 0.102866 0.002798 0.001575
-14.200000 -2.336946 -2.342912 0.096233 0.102979 0.000210 0.002070
-14.100000 -2.336095 -2.333244 0.093515 0.103006 0.001765 0.002853
-14.000000 -2.322496 -2.323949 0.100406 0.103336 0.003379 0.003394
-13.900000 -2.320417 -2.313087 0.111019 0.103607 0.001705 0.003069
-13.800000 -2.305379 -2.302142 0.105231 0.103730 0.002432 0.002697
-13.700000 -2.301620 -2.292012 0.101850 0.104112 0.004081 0.003037
-13.600000 -2.276172 -2.281629 0.104167 0.104458 0.001967 0.003420
-13.500000 -2.272174 -2.271202 0.105185 0.104531 0.001090 0.003498
